out:sDA,out:ID,Link_E1a
0.833333,E1a-1.4-S-0-0_O-0-6028-No,https://i.postimg.cc/wBTMLmxp/E1a-1-4-S-0-0-O-0-6028-No-daylight.png
0.777778,E1a-1.2-S-0-0_O-0-6028-No,https://i.postimg.cc/Fs3Y4vnv/E1a-1-2-S-0-0-O-0-6028-No-daylight.png
0.674603,E1a-1.0-S-0-0_O-0-6028-No,https://i.postimg.cc/4dY3FR9C/E1a-1-S-0-0-O-0-6028-No-daylight.png
0.587302,E1a-0.8-S-0-0_O-0-6028-No,https://i.postimg.cc/pV99szfH/E1a-0-8-S-0-0-O-0-6028-No-daylight.png
0.484127,E1a-0.6-S-0-0_O-0-6028-No,https://i.postimg.cc/KzW2KK4y/E1a-0-6-S-0-0-O-0-6028-No-daylight.png
0.722222,E1a-1.4-S-0-0_O-0-5123-No,https://i.postimg.cc/mr2kCHZW/E1a-1-4-S-0-0-O-0-5123-No-daylight.png
0.65873,E1a-1.2-S-0-0_O-0-5123-No,https://i.postimg.cc/7Y05k4Qv/E1a-1-2-S-0-0-O-0-5123-No-daylight.png
0.595238,E1a-1.0-S-0-0_O-0-5123-No,https://i.postimg.cc/LXJs0FZc/E1a-1-S-0-0-O-0-5123-No-daylight.png
0.5,E1a-0.8-S-0-0_O-0-5123-No,https://i.postimg.cc/z3ZYj9n9/E1a-0-8-S-0-0-O-0-5123-No-daylight.png
0.380953,E1a-0.6-S-0-0_O-0-5123-No,https://i.postimg.cc/xCZ2kk8W/E1a-0-6-S-0-0-O-0-5123-No-daylight.png
0.452381,E1a-1.4-S-0-0_O-0-6028-Yes,https://i.postimg.cc/tgCJWxRb/E1a-1-4-S-0-0-O-0-6028-Yes-daylight.png
0.452381,E1a-1.2-S-0-0_O-0-6028-Yes,https://i.postimg.cc/yYcDHKrs/E1a-1-2-S-0-0-O-0-6028-Yes-daylight.png
0.666667,E1a-1.0-S-0-0_O-0-6028-Yes,https://i.postimg.cc/j5DjkY7b/E1a-1-S-0-0-O-0-6028-Yes-daylight.png
0.460317,E1a-0.8-S-0-0_O-0-6028-Yes,https://i.postimg.cc/BZ88mHTs/E1a-0-8-S-0-0-O-0-6028-Yes-daylight.png
