out:sDA,out:ID,Link_E1b
0.833333,E1b-1.4-S-0-0_O-0-6028-No,https://i.postimg.cc/yxNyGdTz/E1b-1-4-S-0-0-O-0-6028-No-daylight.png
0.777778,E1b-1.2-S-0-0_O-0-6028-No,https://i.postimg.cc/254Gbg6j/E1b-1-2-S-0-0-O-0-6028-No-daylight.png
0.674603,E1b-1.0-S-0-0_O-0-6028-No,https://i.postimg.cc/wT7kc1vy/E1b-1-S-0-0-O-0-6028-No-daylight.png
0.587302,E1b-0.8-S-0-0_O-0-6028-No,https://i.postimg.cc/RVDXjc8b/E1b-0-8-S-0-0-O-0-6028-No-daylight.png
0.484127,E1b-0.6-S-0-0_O-0-6028-No,https://i.postimg.cc/tJr2RPgV/E1b-0-6-S-0-0-O-0-6028-No-daylight.png
0.722222,E1b-1.4-S-0-0_O-0-5123-No,https://i.postimg.cc/5ytSr0md/E1b-1-4-S-0-0-O-0-5123-No-daylight.png
0.65873,E1b-1.2-S-0-0_O-0-5123-No,https://i.postimg.cc/YS1RGT9H/E1b-1-2-S-0-0-O-0-5123-No-daylight.png
0.595238,E1b-1.0-S-0-0_O-0-5123-No,https://i.postimg.cc/DfCgXr2c/E1b-1-S-0-0-O-0-5123-No-daylight.png
0.5,E1b-0.8-S-0-0_O-0-5123-No,https://i.postimg.cc/fTrB6xF2/E1b-0-8-S-0-0-O-0-5123-No-daylight.png
0.380953,E1b-0.6-S-0-0_O-0-5123-No,https://i.postimg.cc/0jtc5mNM/E1b-0-6-S-0-0-O-0-5123-No-daylight.png
0.452381,E1b-1.4-S-0-0_O-0-6028-Yes,https://i.postimg.cc/1XzrdtKR/E1b-1-4-S-0-0-O-0-6028-Yes-daylight.png
0.452381,E1b-1.2-S-0-0_O-0-6028-Yes,https://i.postimg.cc/254Gbg6S/E1b-1-2-S-0-0-O-0-6028-Yes-daylight.png
0.666667,E1b-1.0-S-0-0_O-0-6028-Yes,https://i.postimg.cc/jdLhQD5n/E1b-1-S-0-0-O-0-6028-Yes-daylight.png
0.460317,E1b-0.8-S-0-0_O-0-6028-Yes,https://i.postimg.cc/7YWmpgcc/E1b-0-8-S-0-0-O-0-6028-Yes-daylight.png
0.428572,E1b-0.6-S-0-0_O-0-6028-Yes,https://i.postimg.cc/nrd0V7Lm/E1b-0-6-S-0-0-O-0-6028-Yes-daylight.png
