out:sDA,out:ID,Link_E1c
0.833333,E1c-1.4-S-0-0_O-0-6028-No,https://i.postimg.cc/BZdCpqK0/E1c-1-4-S-0-0-O-0-6028-No-daylight.png
0.777778,E1c-1.2-S-0-0_O-0-6028-No,https://i.postimg.cc/j2JLCYx1/E1c-1-2-S-0-0-O-0-6028-No-daylight.png
0.674603,E1c-1.0-S-0-0_O-0-6028-No,https://i.postimg.cc/GmjJbGSn/E1c-1-S-0-0-O-0-6028-No-daylight.png
0.587302,E1c-0.8-S-0-0_O-0-6028-No,https://i.postimg.cc/N0pyzxC1/E1c-0-8-S-0-0-O-0-6028-No-daylight.png
0.484127,E1c-0.6-S-0-0_O-0-6028-No,https://i.postimg.cc/kgPt6GtS/E1c-0-6-S-0-0-O-0-6028-No-daylight.png
0.722222,E1c-1.4-S-0-0_O-0-5123-No,https://i.postimg.cc/44r1PJhD/E1c-1-4-S-0-0-O-0-5123-No-daylight.png
0.65873,E1c-1.2-S-0-0_O-0-5123-No,https://i.postimg.cc/yxSkWC1f/E1c-1-2-S-0-0-O-0-5123-No-daylight.png
0.595238,E1c-1.0-S-0-0_O-0-5123-No,https://i.postimg.cc/jShQRP3p/E1c-1-S-0-0-O-0-5123-No-daylight.png
0.5,E1c-0.8-S-0-0_O-0-5123-No,https://i.postimg.cc/xdtk4PpH/E1c-0-8-S-0-0-O-0-5123-No-daylight.png
0.380953,E1c-0.6-S-0-0_O-0-5123-No,https://i.postimg.cc/dVcTk3TT/E1c-0-6-S-0-0-O-0-5123-No-daylight.png
0.452381,E1c-1.4-S-0-0_O-0-6028-Yes,https://i.postimg.cc/WpQ782kV/E1c-1-4-S-0-0-O-0-6028-Yes-daylight.png
0.452381,E1c-1.2-S-0-0_O-0-6028-Yes,https://i.postimg.cc/5yF6jW4k/E1c-1-2-S-0-0-O-0-6028-Yes-daylight.png
0.666667,E1c-1.0-S-0-0_O-0-6028-Yes,https://i.postimg.cc/jShQRPk0/E1c-1-S-0-0-O-0-6028-Yes-daylight.png
0.460317,E1c-0.8-S-0-0_O-0-6028-Yes,https://i.postimg.cc/HLBJhtvw/E1c-0-8-S-0-0-O-0-6028-Yes-daylight.png
0.428572,E1c-0.6-S-0-0_O-0-6028-Yes,https://i.postimg.cc/jSYJw2JN/E1c-0-6-S-0-0-O-0-6028-Yes-daylight.png
0.444444,E1c-1.4-S-0-0_O-0-5123-Yes,https://i.postimg.cc/G3ZjKcyw/E1c-1-4-S-0-0-O-0-5123-Yes-daylight.png
0.436508,E1c-1.2-S-0-0_O-0-5123-Yes,https://i.postimg.cc/gj6nrbzS/E1c-1-2-S-0-0-O-0-5123-Yes-daylight.png
0.571429,E1c-1.0-S-0-0_O-0-5123-Yes,https://i.postimg.cc/g2KqG8B9/E1c-1-S-0-0-O-0-5123-Yes-daylight.png
0.428572,E1c-0.8-S-0-0_O-0-5123-Yes,https://i.postimg.cc/QM0ByqY1/E1c-0-8-S-0-0-O-0-5123-Yes-daylight.png
0.380953,E1c-0.6-S-0-0_O-0-5123-Yes,https://i.postimg.cc/g2b6Xj6Z/E1c-0-6-S-0-0-O-0-5123-Yes-daylight.png
0.801588,E1c-1.4-S-0.2-0_O-0.2-6028-No,https://i.postimg.cc/rzXzrZsP/E1c-1-4-S-0-2-0-O-0-2-6028-No-daylight.png
0.722222,E1c-1.2-S-0.2-0_O-0.2-6028-No,https://i.postimg.cc/HxnJD7FB/E1c-1-2-S-0-2-0-O-0-2-6028-No-daylight.png
0.634921,E1c-1.0-S-0.2-0_O-0.2-6028-No,https://i.postimg.cc/28h7XPQC/E1c-1-S-0-2-0-O-0-2-6028-No-daylight.png
0.547619,E1c-0.8-S-0.2-0_O-0.2-6028-No,https://i.postimg.cc/Jz3Hb8bN/E1c-0-8-S-0-2-0-O-0-2-6028-No-daylight.png
0.428572,E1c-0.6-S-0.2-0_O-0.2-6028-No,https://i.postimg.cc/gc5hpNzx/E1c-0-6-S-0-2-0-O-0-2-6028-No-daylight.png
0.666667,E1c-1.4-S-0.2-0_O-0.2-5123-No,https://i.postimg.cc/Rq5qHphp/E1c-1-4-S-0-2-0-O-0-2-5123-No-daylight.png
